game,source,source_url,draw_number,draw_date,draw_day,main_draw_label,jackpot_amount,main_1,main_2,main_3,main_4,main_5,main_6,bonus_number,extra_number,secondary_numbers,secondary_ball_result
Lotto 649,WCLC official,https://www.wclc.com/lotto-649-prize-details.htm?drawNumber=3650,3650,2019-01-12,Saturday,MAIN DRAW,9338587.40,10,13,21,30,46,48,23,4906332,16707585-01,
Lotto 649,WCLC official,https://www.wclc.com/lotto-649-prize-details.htm?drawNumber=3651,3651,2019-01-16,Wednesday,MAIN DRAW,12521458.30,4,10,11,34,46,48,23,2141498,30307581-02,
Lotto 649,WCLC official,https://www.wclc.com/lotto-649-prize-details.htm?drawNumber=3652,3652,2019-01-19,Saturday,MAIN DRAW,17017876.80,2,13,32,39,44,49,10,6521293,17721572-05;17451681-01;17455749-03;17478092-02;17479560-02;17511529-05;17529608-01;17544514-01;17573956-01;17592137-03;17645225-01;17708338-04;17708388-01;17711280-04;17718386-01;17781175-01;31192493-04;31274405-01;31288801-06;31510781-01;31570945-01;31682157-02;31703689-02;31809297-01;31888677-01;32034557-01;32180453-02;32222817-02;32427465-01;32447325-01;32545985-01;32628561-02;32688577-03;32822865-01;33128081-01;53427063-02;56313673-04;56325223-01;57399597-01;57412555-02;57442389-01;57492768-01;57549700-01;57590394-01;57592424-01;57614934-01;57626633-01;57640805-01;57750208-05;57776001-01;57813529-02;57839762-04;57930175-01;58022420-01;58036180-04;58037849-01;58077610-02;58094466-01;58115378-02;58123144-01;58146175-01;58162294-05;58200603-03;58233095-02;58254293-01;58316613-01;58372526-02;58375805-02;58402624-01;58428273-01;58448438-01;58473493-03;58663992-01;58691589-01;58758161-01;58807112-09;58812319-01;58820352-01;58916526-03;61829867-01;64830636-01;65011077-02;65149092-01;66452825-01;66592982-01;66616521-01;66632814-01;67290067-01;68202277-02;68266431-01;68300335-01;70992102-06;72314583-02;74811033-02;74869969-01;77527953-01;83158732-01;83199653-01;83378470-01;83556706-01;83620459-01,
Lotto 649,WCLC official,https://www.wclc.com/lotto-649-prize-details.htm?drawNumber=3653,3653,2019-01-23,Wednesday,MAIN DRAW,20549650.50,3,19,20,26,31,38,6,2952265,17808432-01,
Lotto 649,WCLC official,https://www.wclc.com/lotto-649-prize-details.htm?drawNumber=3654,3654,2019-01-26,Saturday,MAIN DRAW,24301574.40,3,7,10,12,14,25,36,6263513,63197481-03,
Lotto 649,WCLC official,https://www.wclc.com/lotto-649-prize-details.htm?drawNumber=3655,3655,2019-01-30,Wednesday,MAIN DRAW,30000000.00,3,7,27,37,43,48,45,1630706,38871669-01,
Lotto 649,WCLC official,https://www.wclc.com/lotto-649-prize-details.htm?drawNumber=3656,3656,2019-02-02,Saturday,MAIN DRAW,33396099.00,14,16,25,29,30,48,12,1512950,42695473-03,
Lotto 649,WCLC official,https://www.wclc.com/lotto-649-prize-details.htm?drawNumber=3657,3657,2019-02-06,Wednesday,MAIN DRAW,5000000.00,1,16,27,28,36,39,9,2216473,63357804-01,
Lotto 649,WCLC official,https://www.wclc.com/lotto-649-prize-details.htm?drawNumber=3658,3658,2019-02-09,Saturday,MAIN DRAW,5000000.00,1,24,35,41,42,49,18,3423665,24611213-01,
Lotto 649,WCLC official,https://www.wclc.com/lotto-649-prize-details.htm?drawNumber=3659,3659,2019-02-13,Wednesday,MAIN DRAW,5000000.00,5,19,24,29,36,41,9,4133443,27125565-01,
